cluster_hdbscan,count,avg_lat,avg_lon,avg_hour,arrest_rate,weapon_rate,avg_age,avg_dist_cbd,top_crime,top_area
0,2204,34.035,-118.301,13.609,0.049,0.0,0.024,8.069,PROPERTY,Pacific
1,2139,34.036,-118.304,13.519,0.06,0.0,0.04,8.258,PROPERTY,Pacific
2,3666,34.038,-118.314,13.004,0.031,0.0,40.276,8.555,PROPERTY,Central
3,3219,34.029,-118.301,13.409,0.156,1.0,34.381,8.15,VIOLENT,77th Street
4,2087,34.032,-118.303,13.336,0.057,0.0,0.062,8.298,PROPERTY,77th Street
5,858,34.213,-118.472,13.476,0.078,0.0,0.159,26.836,PROPERTY,N Hollywood
6,2280,34.033,-118.298,13.765,0.042,0.0,0.073,7.953,PROPERTY,Central
7,2594,34.034,-118.302,13.764,0.045,0.0,0.055,8.058,PROPERTY,Newton
8,3445,34.027,-118.299,13.516,0.15,1.0,34.669,7.873,VIOLENT,77th Street
9,1088,34.21,-118.472,13.703,0.069,0.0,0.153,26.638,PROPERTY,N Hollywood
10,954,34.211,-118.476,13.522,0.09,0.0,0.107,27.039,PROPERTY,West Valley
11,377,33.769,-118.286,13.194,0.082,0.0,26.297,31.699,PROPERTY,Harbor
12,831,33.772,-118.286,13.078,0.091,0.0,21.946,31.374,PROPERTY,Harbor
13,1390,33.767,-118.284,13.955,0.215,1.0,33.835,31.874,VIOLENT,Harbor
14,2314,34.035,-118.302,13.567,0.052,0.0,0.05,7.921,PROPERTY,Central
15,2264,34.034,-118.302,13.448,0.048,0.0,0.036,8.24,PROPERTY,Newton
16,1268,34.215,-118.478,13.157,0.252,1.0,34.345,27.478,VIOLENT,Mission
17,3736,34.028,-118.296,12.725,0.145,1.0,33.976,7.78,VIOLENT,77th Street
18,978,34.212,-118.475,13.498,0.075,0.0,0.088,27.032,PROPERTY,Devonshire
19,1970,34.206,-118.478,12.838,0.051,0.0,43.471,26.871,PROPERTY,Van Nuys
20,383,33.773,-118.286,12.661,0.11,0.0,24.376,31.241,PROPERTY,Harbor
21,984,34.21,-118.468,13.743,0.085,0.0,0.084,26.388,PROPERTY,N Hollywood
22,947,34.214,-118.469,13.974,0.102,0.0,0.118,26.766,PROPERTY,Devonshire
23,3184,34.028,-118.301,13.508,0.157,1.0,34.442,8.097,VIOLENT,77th Street
24,1090,34.212,-118.47,13.712,0.239,1.0,34.941,26.782,VIOLENT,N Hollywood
25,982,34.211,-118.469,13.244,0.101,0.0,0.162,26.582,PROPERTY,N Hollywood
26,1988,34.206,-118.478,12.958,0.058,0.0,43.203,26.841,PROPERTY,N Hollywood
27,3826,34.037,-118.315,13.095,0.033,0.0,40.279,8.708,PROPERTY,Southwest
28,2005,34.207,-118.476,12.992,0.05,0.0,43.291,26.777,PROPERTY,N Hollywood
29,3973,34.038,-118.315,13.036,0.031,0.0,40.444,8.623,PROPERTY,Southwest
30,1054,34.213,-118.475,13.39,0.221,1.0,35.851,27.144,VIOLENT,West Valley
31,3356,34.029,-118.301,12.844,0.155,1.0,34.136,8.079,VIOLENT,77th Street
32,211,33.763,-118.288,13.057,0.057,0.0,41.754,32.363,PROPERTY,Harbor
33,352,33.77,-118.286,12.722,0.088,0.0,23.653,31.605,PROPERTY,Harbor
34,1767,34.207,-118.479,12.872,0.063,0.0,41.897,27.021,PROPERTY,Topanga
35,3663,34.038,-118.314,12.435,0.036,0.0,39.553,8.674,PROPERTY,Central
36,3241,34.028,-118.298,13.414,0.151,1.0,34.835,8.01,VIOLENT,77th Street
37,1088,34.213,-118.479,13.613,0.222,1.0,34.799,27.445,VIOLENT,Topanga
38,3629,34.029,-118.298,13.08,0.142,1.0,34.357,7.857,VIOLENT,77th Street
39,1288,34.214,-118.476,13.185,0.215,1.0,34.451,27.32,VIOLENT,Van Nuys
40,2150,34.207,-118.479,13.032,0.052,0.0,43.544,26.991,PROPERTY,Topanga
41,4181,34.039,-118.315,13.341,0.03,0.0,39.863,8.55,PROPERTY,Central
42,2047,34.207,-118.475,12.881,0.06,0.0,43.414,26.707,PROPERTY,Van Nuys
43,1069,34.213,-118.473,13.917,0.226,1.0,33.938,27.003,VIOLENT,West Valley
44,1150,34.212,-118.474,14.32,0.227,1.0,35.005,27.079,VIOLENT,Mission
45,1964,34.207,-118.481,12.619,0.056,0.0,43.267,27.093,PROPERTY,Topanga
46,4113,34.041,-118.314,13.018,0.03,0.0,39.029,8.517,PROPERTY,Central
47,161,33.776,-118.284,13.193,0.099,0.0,0.0,30.917,PROPERTY,Harbor
48,206,33.768,-118.288,12.563,0.102,0.0,42.641,31.828,PROPERTY,Harbor
49,3254,34.044,-118.288,12.786,0.037,0.0,39.813,6.605,PROPERTY,Central
50,267,34.014,-118.441,16.348,0.037,0.0,40.76,17.802,PROPERTY,Pacific
51,245,34.013,-118.439,11.253,0.016,0.0,42.604,17.716,PROPERTY,Pacific
