AREA NAME,crime_count,arrest_rate,weapon_rate,avg_lat,avg_lon,avg_victim_age,violent_pct,property_pct,avg_dist_cbd,lisa_q,lisa_p,lisa_I,lisa_sig,lisa_label,gi_zscore,gi_pvalue,hotspot_class
77th Street,60730,0.09038366540424832,0.4774905318623415,33.977688819364396,-118.29728135188539,28.94523299851803,0.37500411658159066,0.40755804380042815,9.60393860464582,1,0.004,1.4025941143263982,True,High-High,1.006517029931677,0.012,Not Significant
Central,67580,0.06183782184078129,0.36163065995856764,34.047642832198875,-118.25058307487421,28.58952352767091,0.2707457827759692,0.5053566143829535,1.2582546675114283,4,0.308,-0.7374715635681705,False,Not Significant,-0.21440927408658947,0.299,Not Significant
Devonshire,40744,0.08177891223247595,0.2559886118201453,34.250280492833305,-118.53885942470056,29.89576379344198,0.1944335362261928,0.6209994109562144,33.47941025207527,3,0.003,0.6271205327776482,True,Low-Low,-0.9446440485480836,0.002,Not Significant
Foothill,32481,0.1118192173886272,0.32268095194113483,34.24881290600659,-118.37889188756503,30.05338505587882,0.2435885594655337,0.5321572611680675,24.91285386297611,3,0.202,0.3987617145290239,False,Not Significant,-0.34878737156068984,0.197,Not Significant
Harbor,40404,0.12842787842787842,0.3337540837540838,33.77143508068508,-118.28526061528562,27.414785664785665,0.2696267696267696,0.4930947430947431,31.407261418861015,2,0.017,-0.660098438430117,True,Low-High,0.8691832608527679,0.027,Not Significant
Hollenbeck,36036,0.07905982905982906,0.34065934065934067,34.05420703740703,-118.2033518981019,25.896936396936397,0.276001776001776,0.5026640026640027,4.1938818475728405,2,0.13,-0.5535534363277105,False,Not Significant,0.39600143790125564,0.167,Not Significant
Hollywood,51002,0.08083996706011529,0.38406337006391905,34.09937100113721,-118.3296612544606,28.447296184463355,0.25332339908238893,0.526567585584879,9.03761892153302,1,0.316,0.07060045318181953,False,Not Significant,0.1655438939049314,0.339,Not Significant
Mission,39290,0.12560447951132603,0.3174344616950878,34.255897050139986,-118.45052808093662,29.31270043268007,0.2547467548994655,0.5274370068719776,28.771916190039665,3,0.027,0.5567849119934526,True,Low-Low,-0.6976534754244047,0.033,Not Significant
N Hollywood,49886,0.12312071523072605,0.26203744537545604,34.17166354287776,-118.38463185262398,28.647576474361543,0.2056689251493405,0.579300805837309,17.934209305469853,4,0.113,-0.19376413369665785,False,Not Significant,-0.49760750681234656,0.106,Not Significant
Newton,48170,0.0773925679883745,0.4004982354162342,34.009550981938965,-118.26059360597883,25.493481419970937,0.31004774756072245,0.4930247041727216,5.053616332485857,1,0.003,0.18662501780687965,True,High-High,1.0777709916207134,0.008,Not Significant
Northeast,41853,0.08121281628557092,0.2522638759467661,34.1071404391561,-118.24527265667932,28.22180010990849,0.1887080973884787,0.5979499677442477,6.8095797540509135,2,0.189,-0.21125948631428054,False,Not Significant,0.3462836194079996,0.201,Not Significant
Olympic,48893,0.08037960444235372,0.34602090278772013,34.060146914691266,-118.30040748164359,28.04470987666946,0.2712453725482175,0.5198290143783364,5.040591112089531,1,0.025,0.20620151264053693,True,High-High,0.8082574034878899,0.031,Not Significant
Pacific,57637,0.06624217082776689,0.27144022069156964,33.983762088588925,-118.4237311848292,29.25589465100543,0.159498238978434,0.6628381074656905,17.397480473282407,1,0.059,0.7181399575096215,False,Not Significant,0.6508800658144169,0.057,Not Significant
Rampart,45715,0.1023734004156185,0.392715738816581,34.06354852236684,-118.27417765941158,26.683583069014546,0.3013015421634037,0.4862955266323964,3.0932687943103274,2,0.048,-0.07775970179928987,True,Low-High,0.676392698911589,0.052,Not Significant
Southeast,48959,0.06758716477052228,0.4688208500990625,33.938897881901184,-118.26715899630302,27.939929328621908,0.36979921975530544,0.4136318143752936,12.815597261813869,1,0.003,0.28120290443120016,True,High-High,1.0665448828753046,0.006,Not Significant
Southwest,55913,0.08794019279952783,0.3662475631785095,34.02021168064672,-118.31636275642515,29.9057821973423,0.2797918194337632,0.49648561157512566,7.2609814205386325,1,0.133,0.435198379658854,False,Not Significant,0.46998178432999305,0.14,Not Significant
Topanga,40400,0.11443069306930694,0.27123762376237626,34.19210325,-118.60116149009902,34.53311881188119,0.20646039603960395,0.6009405940594059,34.18468227224723,3,0.049,0.44627120636901246,True,Low-Low,-0.6500856802117855,0.05,Not Significant
Van Nuys,41816,0.10938396785919266,0.2649942605701167,34.17874107518654,-118.44719185479242,32.11746699827817,0.20487373254256744,0.5952506217715707,22.348470963916245,3,0.027,0.40061275549782605,True,Low-Low,-0.7345762198341226,0.03,Not Significant
West LA,44626,0.06832339891543046,0.22854389817595125,34.0515246649935,-118.44062604535472,31.439654013355444,0.136086586294985,0.6732622238157128,16.838969852117604,2,0.141,-0.11336885747229196,False,Not Significant,0.45681794591821173,0.144,Not Significant
West Valley,41282,0.12123928104258515,0.29509229204011433,34.18718570321205,-118.52065228186619,31.358970011142873,0.21844871856983672,0.5661062932997433,27.986660807412612,3,0.086,0.3181972427583651,False,Not Significant,-0.5382554378279103,0.087,Not Significant
Wilshire,46959,0.07334057369194404,0.2529014672373773,34.06183553738367,-118.35206182414446,29.6209672267297,0.19327498456100003,0.603420004684938,9.415108508218376,1,0.231,0.00966296636693293,False,Not Significant,0.3009891598380073,0.264,Not Significant
